destino,distancia,ida,numpassagens,qtdiarias,requisicao,solicitante,valor,volta
"WEIMAR - ALEMANHA, MAINZ - ALEMANHA, STUTTGART - ALEMANHA, DUSSELDORF - ALEMANHA",21945.08866473112,2016-10-15,7,10.0,93199,JOAO ERVINO FISCHER,14215.6,2016-10-25
MEDELIN - COLOMBIA.,9587.607692750551,2016-07-25,3,4.0,92278,JOÃO OTÁVIO REINELLI,3898.08,2016-07-29
"marrakesh - MARROCOS, marrakesh - MARROCOS, barcelona - ESPANHA",17883.864361171618,2016-11-09,4,6.0,93380,JOÃO OTÁVIO REINELLI,8178.0,2016-11-16
LISBOA - PORTUGAL,17600.989606199473,2016-11-18,2,1.0,93381*,JOÃO OTÁVIO REINELLI,744.77,2016-11-19
Nova Délhi - INDIA.,30113.038672393268,2016-11-04,12,8.0,93262,JOSÉ SIDNEY NUNES DE ALMEIDA,11187.84,2016-11-13
La Plata - ARGENTINA,1664.3805841375586,2016-04-06,2,2.0,89717*,LIZIANE BAYER DA COSTA,1489.54,2016-04-08
Montevideo - URUGUAI,1428.1839660559774,2016-02-15,0,2.0,88870,LUIS AUGUSTO BARCELLOS LARA,2230.92,2016-02-17
Montevideo - URUGUAI,714.0919830279887,2016-04-28,0,2.0,90346,LUIS AUGUSTO BARCELLOS LARA,2085.96,2016-04-30
Montevideo - URUGUAI,1428.1839660559774,2016-05-23,0,1.0,90964,LUIS AUGUSTO BARCELLOS LARA,1052.76,2016-05-24
Buenos Aires - ARGENTINA,1458.6185014926873,2016-08-16,2,2.0,92687,LUIS AUGUSTO BARCELLOS LARA,1929.42,2016-08-18
Montevideo - URUGUAI,1428.1839660559774,2016-07-13,1,3.0,91545,LUIZ FERNANDO MAINARDI,2918.61,2016-07-16
Madrid - ESPANHA,18792.627229892983,2016-12-11,8,4.0,93866,LUIZ FERNANDO MAINARDI,5902.719999999998,2016-12-17
delhi - INDIA,30118.90519395852,2016-11-04,12,8.0,93180,MARCELO PIRES MORAES,11467.2,2016-11-13
Barcelona - ESPANHA,19296.69577434922,2016-11-14,2,5.0,93526,MAURICIO ALEXANDRE DZIEDRICKI,7075.4,2016-11-19
San Ignacio Guazú - PARAGUAI,1330.690431738702,2016-05-19,0,2.0,90335,MIGUEL CONSTANTINO ROSSO BIANCHINI,2085.96,2016-05-21
