ano,dep,link,quantidade,recolhidas,valor
2015,VILMAR PERIN ZANCHIN,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/17214/ano/2015/tipo/0/Default.aspx,57.0,0.0,36372.78
2015,VOLNEI DA SILVA ALVES,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/17218/ano/2015/tipo/0/Default.aspx,74.5,0.0,44885.67
2015,ZILA MARIA BREITENBACH,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/11425/ano/2015/tipo/0/Default.aspx,45.0,0.0,29470.89
2016,ADAO ROBERTO RODRIGUES VILLAVERDE,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/3390/ano/2016/tipo/0/Default.aspx,35.5,0.0,25546.09
2016,ADILSON TROCA,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/2511/ano/2016/tipo/0/Default.aspx,4.5,0.0,2650.04
2016,ADOLFO JOSE BRITO,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/2513/ano/2016/tipo/0/Default.aspx,67.5,1.0,47676.4
2016,ALEXANDRE POSTAL,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/2515/ano/2016/tipo/0/Default.aspx,12.0,0.0,8157.88
2016,ALOISIO TALSO CLASSMANN,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/2516/ano/2016/tipo/0/Default.aspx,59.0,2.0,39571.02
2016,ALTEMIR ANTONIO TORTELLI,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/14456/ano/2016/tipo/0/Default.aspx,26.5,0.0,16696.84
2016,ALVARO DAVI BOESSIO,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/10220/ano/2016/tipo/0/Default.aspx,24.0,0.0,16776.56
2016,ANTONIO VALDECI OLIVEIRA DE OLIVEIRA,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/14455/ano/2016/tipo/0/Default.aspx,7.0,0.0,4122.24
2016,ANY MACHADO ORTIZ,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/14399/ano/2016/tipo/0/Default.aspx,32.0,0.0,28280.91
2016,CIRO CARLOS EMERIM SIMONI,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/2523/ano/2016/tipo/0/Default.aspx,20.0,5.0,13136.39
2016,EDSON MEURER BRUM,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/4814/ano/2016/tipo/0/Default.aspx,48.5,0.0,36801.48
2016,EDUARDO DEBACCO LOUREIRO,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/17220/ano/2016/tipo/0/Default.aspx,8.0,0.0,4944.97
2016,ELTON ROBERTO WEBER,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/17219/ano/2016/tipo/0/Default.aspx,38.5,0.0,23451.83
2016,ENIO EGON BERGMANN BACCI,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/17212/ano/2016/tipo/0/Default.aspx,5.5,0.0,4903.73
2016,FREDERICO CANTORI ANTUNES,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/2537/ano/2016/tipo/0/Default.aspx,36.0,0.0,29340.33
2016,GERSON LUÍS DE BORBA,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/17435/ano/2016/tipo/0/Default.aspx,49.5,0.0,29461.94
2016,GILBERTO CAPOANI,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/11413/ano/2016/tipo/0/Default.aspx,53.0,0.0,34101.04
2016,GILMAR SOSSELLA,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/11414/ano/2016/tipo/0/Default.aspx,55.0,0.0,34025.87
2016,JEFERSON OLIVEIRA FERNANDES,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/2318/ano/2016/tipo/0/Default.aspx,16.5,0.0,9794.66
2016,JOAO EDEGAR PRETTO,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/2333/ano/2016/tipo/0/Default.aspx,39.0,0.0,26395.01
2016,JOAO ERVINO FISCHER,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/2546/ano/2016/tipo/0/Default.aspx,26.5,0.0,25701.82
2016,JOÃO OTÁVIO REINELLI,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/17217/ano/2016/tipo/0/Default.aspx,37.0,0.0,30158.48
2016,JORGE CLADISTONE POZZOBOM,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/14460/ano/2016/tipo/0/Default.aspx,27.0,0.0,16913.44
2016,JOSE ANTONIO JUNIOR FROZZA PALADINI,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/14471/ano/2016/tipo/0/Default.aspx,10.5,0.0,6183.37
2016,JOSÉ SIDNEY NUNES DE ALMEIDA,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/17221/ano/2016/tipo/0/Default.aspx,38.0,1.0,28499.65
2016,JULIANA BRIZOLA,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/2459/ano/2016/tipo/0/Default.aspx,6.5,0.0,3827.79
2016,JULIANO ROSO,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/17216/ano/2016/tipo/0/Default.aspx,36.0,0.0,21589.77
2016,JUVIR COSTELLA,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/6229/ano/2016/tipo/0/Default.aspx,10.0,0.0,5888.91
2016,LIZIANE BAYER DA COSTA,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/17227/ano/2016/tipo/0/Default.aspx,28.0,0.0,17346.32
2016,LUIS AUGUSTO BARCELLOS LARA,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/2559/ano/2016/tipo/0/Default.aspx,55.5,0.0,36328.23
2016,LUIZ FERNANDO MAINARDI,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/14467/ano/2016/tipo/0/Default.aspx,76.5,2.0,48883.32
2016,MANUELA PINTO VIEIRA D' AVILA,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/17213/ano/2016/tipo/0/Default.aspx,15.5,0.0,9595.45
2016,MARCELO PIRES MORAES,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/14457/ano/2016/tipo/0/Default.aspx,50.0,1.0,36703.15
2016,MÁRIO JARDEL ALMEIDA RIBEIRO,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/17225/ano/2016/tipo/0/Default.aspx,0.5,0.0,294.45
2016,MARLON ARATOR SANTOS DA ROSA,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/6877/ano/2016/tipo/0/Default.aspx,28.5,0.0,17251.06
2016,MAURICIO ALEXANDRE DZIEDRICKI,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/2973/ano/2016/tipo/0/Default.aspx,21.5,0.0,17961.24
2016,MIGUEL CONSTANTINO ROSSO BIANCHINI,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/17222/ano/2016/tipo/0/Default.aspx,28.5,0.0,17691.75
2016,MIRIAM PAZ GARCEZ MARRONI,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/9792/ano/2016/tipo/0/Default.aspx,17.0,2.0,12494.06
2016,NELSON LUIZ DA SILVA,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/14459/ano/2016/tipo/0/Default.aspx,25.5,0.0,15640.31
2016,PEDRO LUIZ FAGUNDES RUAS,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/2879/ano/2016/tipo/0/Default.aspx,0.5,0.0,372.39
2016,PEDRO OZORIO PEREIRA,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/8480/ano/2016/tipo/0/Default.aspx,84.0,1.0,55755.93
2016,REGINA MARIA BECKER,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/8475/ano/2016/tipo/0/Default.aspx,19.5,0.0,15959.14
2016,RONALDO SANTINI,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/14461/ano/2016/tipo/0/Default.aspx,48.5,0.0,30431.95
2016,SERGIO BERGONSI TURRA,http://www2.al.rs.gov.br/transparenciaalrs/GabinetesParlamentares/Di%c3%a1riasapartirdejunho2011/tabid/5247/vw/detalhe/fav/17223/ano/2016/tipo/0/Default.aspx,36.5,0.0,24461.68
