"mes","solicitante","passagens","combustiveis","diarias","distancia","viagens","dias.fora","gastos.totais"
2016-12-01,"ANY MACHADO ORTIZ",2279.43,609.04,744.77,1705.59866387796,1,1,2888.47
2017-01-01,"ANY MACHADO ORTIZ",0,712.47,0,0,0,0,712.47
2017-02-01,"ANY MACHADO ORTIZ",3653.23,275.9,372.39,3239.47329665878,1,0,3929.13
2017-03-01,"ANY MACHADO ORTIZ",2883.9,941.4,3913.37,7588.65527306045,3,4,3825.3
2017-04-01,"ANY MACHADO ORTIZ",5054.89,678.32,0,0,0,0,5733.21
2017-05-01,"ANY MACHADO ORTIZ",5620.97,1498.57,883.34,1298.98081058526,2,1,7119.54
2017-06-01,"ANY MACHADO ORTIZ",2753.07,500.01,1489.54,4436.76230718845,2,2,3253.08
2017-07-01,"ANY MACHADO ORTIZ",0,2357.97,1472.23,1521.32912749268,2,3,2357.97
2017-08-01,"ANY MACHADO ORTIZ",0,1015.16,588.89,181.901451958234,1,1,1015.16
2017-09-01,"ANY MACHADO ORTIZ",0,1312.23,666.84,921.755438337729,2,0,1312.23
2017-10-01,"ANY MACHADO ORTIZ",698.82,2209,1177.78,1029.33909548172,1,2,2907.82
2017-11-01,"ANY MACHADO ORTIZ",6412.92,1743.22,2217,4993.15169275232,4,3,8156.14
2017-12-01,"ANY MACHADO ORTIZ",0,1260.5,0,0,0,0,1260.5
2015-02-01,"CIRO CARLOS EMERIM SIMONI",0,627.63,1117.16,3239.47329665878,1,1,627.63
2015-03-01,"CIRO CARLOS EMERIM SIMONI",3041.03,2525.9,1117.16,3074.04779526987,1,1,5566.93
2015-04-01,"CIRO CARLOS EMERIM SIMONI",0,2161.4,9838.58,17439.5279822542,1,8,2161.4
2015-05-01,"CIRO CARLOS EMERIM SIMONI",2553.82,3003.96,2372.89,6620.53096326541,3,2,5557.78
2015-06-01,"CIRO CARLOS EMERIM SIMONI",0,3088.33,4156.88,7770.4780031118,4,4,3088.33
2015-07-01,"CIRO CARLOS EMERIM SIMONI",3920.02,3090.86,3206.36,11921.9857657762,2,2,7010.88
2015-08-01,"CIRO CARLOS EMERIM SIMONI",0,2804.23,5585.78,15720.6117689499,1,7,2804.23
2015-09-01,"CIRO CARLOS EMERIM SIMONI",0,3091.71,1766.68,1784.29407213096,3,2,3091.71
2015-10-01,"CIRO CARLOS EMERIM SIMONI",2427.36,3063.9,744.77,1197.28901052966,1,1,5491.26
2015-11-01,"CIRO CARLOS EMERIM SIMONI",1942.78,3023.3,2979.08,8307.38757082682,2,4,4966.08
2015-12-01,"CIRO CARLOS EMERIM SIMONI",1792.04,3090.65,744.77,3239.47329665878,1,1,4882.69
2016-01-01,"CIRO CARLOS EMERIM SIMONI",0,2580.48,0,0,0,0,2580.48
2016-02-01,"CIRO CARLOS EMERIM SIMONI",1289.71,1750.03,0,0,0,0,3039.74
2016-03-01,"CIRO CARLOS EMERIM SIMONI",0,3082.76,1489.54,6431.2474682248,1,2,3082.76
2016-04-01,"CIRO CARLOS EMERIM SIMONI",3905.39,3090.09,0,0,0,0,6995.48
2016-05-01,"CIRO CARLOS EMERIM SIMONI",0,3065.83,3723.85,10324.2198551168,2,6,3065.83
2016-06-01,"CIRO CARLOS EMERIM SIMONI",0,3034.46,0,0,0,0,3034.46
2016-07-01,"CIRO CARLOS EMERIM SIMONI",3114.5,3090.82,744.77,3239.47329665878,1,1,6205.32
2016-08-01,"CIRO CARLOS EMERIM SIMONI",0,3067.42,5255.68,17646.6265250461,1,8,3067.42
2016-09-01,"CIRO CARLOS EMERIM SIMONI",0,3091.71,1177.78,1352.64431081293,2,2,3091.71
2016-10-01,"CIRO CARLOS EMERIM SIMONI",3084.22,3030.42,0,0,0,0,6114.64
2016-11-01,"CIRO CARLOS EMERIM SIMONI",1785.43,2812.98,0,0,0,0,4598.41
2016-12-01,"CIRO CARLOS EMERIM SIMONI",0,1466.06,744.77,5956.34354190909,1,1,1466.06
2017-01-01,"CIRO CARLOS EMERIM SIMONI",0,1404.56,0,0,0,0,1404.56
2017-02-01,"CIRO CARLOS EMERIM SIMONI",4541.47,2193.86,1489.54,4945.07196053675,2,2,6735.33
2017-03-01,"CIRO CARLOS EMERIM SIMONI",0,2706.85,13468,20867.564186738,1,10,2706.85
2017-04-01,"CIRO CARLOS EMERIM SIMONI",0,2309.36,0,0,0,0,2309.36
2017-05-01,"CIRO CARLOS EMERIM SIMONI",2567.76,2380.76,744.77,1093.80584098744,1,1,4948.52
2017-06-01,"CIRO CARLOS EMERIM SIMONI",0,2333.68,2979.08,1197.28901052966,1,4,2333.68
2017-07-01,"CIRO CARLOS EMERIM SIMONI",0,2388.16,0,0,0,0,2388.16
2017-08-01,"CIRO CARLOS EMERIM SIMONI",0,3085.85,0,0,0,0,3085.85
2017-09-01,"CIRO CARLOS EMERIM SIMONI",0,2729.3,0,0,0,0,2729.3
2017-10-01,"CIRO CARLOS EMERIM SIMONI",0,2956.35,0,0,0,0,2956.35
2017-11-01,"CIRO CARLOS EMERIM SIMONI",0,2827.6,0,0,0,0,2827.6
2017-12-01,"CIRO CARLOS EMERIM SIMONI",2860.76,2759.07,0,0,0,0,5619.83
2015-02-01,"PEDRO LUIZ FAGUNDES RUAS",0,402.16,0,0,0,0,402.16
2015-03-01,"PEDRO LUIZ FAGUNDES RUAS",0,1486.33,0,0,0,0,1486.33
2015-04-01,"PEDRO LUIZ FAGUNDES RUAS",0,1890.42,0,0,0,0,1890.42
2015-05-01,"PEDRO LUIZ FAGUNDES RUAS",0,1493.6,0,0,0,0,1493.6
2015-06-01,"PEDRO LUIZ FAGUNDES RUAS",2255.72,1362.42,372.39,3239.47329665878,1,0,3618.14
2015-07-01,"PEDRO LUIZ FAGUNDES RUAS",0,631.01,0,0,0,0,631.01
2015-08-01,"PEDRO LUIZ FAGUNDES RUAS",767.68,623.93,0,0,0,0,1391.61
2015-09-01,"PEDRO LUIZ FAGUNDES RUAS",0,762.11,0,0,1,2,762.11
